"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:21:49.0877812 AM","malware.exe","976","Process Start","","SUCCESS","Parent PID: 1388, Command line: ""C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a\malware.exe"" , Current directory: C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a\, Environment: ;	ALLUSERSPROFILE=C:\ProgramData;	APPDATA=C:\Users\Sysuser\AppData\Roaming;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=SYSUSER-PC;	ComSpec=C:\Windows\system32\cmd.exe;	FP_NO_HOST_CHECK=NO;	HOMEDRIVE=C:;	HOMEPATH=\Users\Sysuser;	JAVA_HOME=C:\Program Files\Eclipse Adoptium\jdk-11.0.19.7-hotspot\;	LOCALAPPDATA=C:\Users\Sysuser\AppData\Local;	LOGONSERVER=\\SYSUSER-PC;	NUMBER_OF_PROCESSORS=2;	OS=Windows_NT;	Path=C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files\Eclipse Adoptium\jdk-11.0.19.7-hotspot\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Users\Sysuser\Desktop\upx-4.0.2-win64\upx-4.0.2-win64;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 154 Stepping 3, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=9a03;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PSModulePath=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\;	PUBLIC=C:\Users\Public;	SystemDrive=C:;	SystemRoot=C:\Windows;	TEMP=C:\Users\Sysuser\AppData\Local\Temp;	TMP=C:\Users\Sysuser\AppData\Local\Temp;	USERDOMAIN=Sysuser-PC;	USERNAME=Sysuser;	USERPROFILE=C:\Users\Sysuser;	windir=C:\Windows"
"7:21:49.0877858 AM","malware.exe","976","Thread Create","","SUCCESS","Thread ID: 904"
"7:21:49.0919235 AM","malware.exe","976","Load Image","C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a\malware.exe","SUCCESS","Image Base: 0x400000, Image Size: 0x12000"
"7:21:49.0919651 AM","malware.exe","976","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x778d0000, Image Size: 0x1ab000"
"7:21:49.0919949 AM","malware.exe","976","Load Image","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Image Base: 0x77ab0000, Image Size: 0x180000"
"7:21:49.0920381 AM","malware.exe","976","CreateFile","C:\Windows\Prefetch\MALWARE.EXE-14F892D2.pf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0920503 AM","malware.exe","976","QueryStandardInformationFile","C:\Windows\Prefetch\MALWARE.EXE-14F892D2.pf","SUCCESS","AllocationSize: 36,864, EndOfFile: 36,774, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:21:49.0920607 AM","malware.exe","976","ReadFile","C:\Windows\Prefetch\MALWARE.EXE-14F892D2.pf","SUCCESS","Offset: 0, Length: 36,774, Priority: Normal"
"7:21:49.0920931 AM","malware.exe","976","CloseFile","C:\Windows\Prefetch\MALWARE.EXE-14F892D2.pf","SUCCESS",""
"7:21:49.0921315 AM","malware.exe","976","CreateFile","C:","SUCCESS","Desired Access: Read Attributes, Write Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0921530 AM","malware.exe","976","QueryInformationVolume","C:","SUCCESS","VolumeCreationTime: 5/2/2022 1:23:15 PM, VolumeSerialNumber: 9C74-69B9, SupportsObjects: True, VolumeLabel: "
"7:21:49.0921624 AM","malware.exe","976","FileSystemControl","C:","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0922937 AM","malware.exe","976","CreateFile","C:\ProgramData","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0923053 AM","malware.exe","976","SetBasicInformationFile","C:\ProgramData","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0923115 AM","malware.exe","976","QueryFileInternalInformationFile","C:\ProgramData","SUCCESS","IndexNumber: 0x1000000000185"
"7:21:49.0923286 AM","malware.exe","976","FileSystemControl","C:\ProgramData","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0923411 AM","malware.exe","976","CloseFile","C:\ProgramData","SUCCESS",""
"7:21:49.0924592 AM","malware.exe","976","CreateFile","C:\ProgramData\Microsoft","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0924737 AM","malware.exe","976","SetBasicInformationFile","C:\ProgramData\Microsoft","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0924807 AM","malware.exe","976","QueryFileInternalInformationFile","C:\ProgramData\Microsoft","SUCCESS","IndexNumber: 0x1000000000186"
"7:21:49.0924877 AM","malware.exe","976","FileSystemControl","C:\ProgramData\Microsoft","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0925644 AM","malware.exe","976","CloseFile","C:\ProgramData\Microsoft","SUCCESS",""
"7:21:49.0926156 AM","malware.exe","976","CreateFile","C:\ProgramData\Microsoft\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0926280 AM","malware.exe","976","SetBasicInformationFile","C:\ProgramData\Microsoft\Windows","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0926356 AM","malware.exe","976","QueryFileInternalInformationFile","C:\ProgramData\Microsoft\Windows","SUCCESS","IndexNumber: 0x10000000001b1"
"7:21:49.0926427 AM","malware.exe","976","FileSystemControl","C:\ProgramData\Microsoft\Windows","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0927044 AM","malware.exe","976","CloseFile","C:\ProgramData\Microsoft\Windows","SUCCESS",""
"7:21:49.0927541 AM","malware.exe","976","CreateFile","C:\ProgramData\Microsoft\Windows\Caches","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0927668 AM","malware.exe","976","SetBasicInformationFile","C:\ProgramData\Microsoft\Windows\Caches","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0927730 AM","malware.exe","976","QueryFileInternalInformationFile","C:\ProgramData\Microsoft\Windows\Caches","SUCCESS","IndexNumber: 0x10000000001b3"
"7:21:49.0927806 AM","malware.exe","976","FileSystemControl","C:\ProgramData\Microsoft\Windows\Caches","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0928374 AM","malware.exe","976","CloseFile","C:\ProgramData\Microsoft\Windows\Caches","SUCCESS",""
"7:21:49.0928827 AM","malware.exe","976","CreateFile","C:\Users","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0928947 AM","malware.exe","976","SetBasicInformationFile","C:\Users","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0929010 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users","SUCCESS","IndexNumber: 0x10000000001e3"
"7:21:49.0929080 AM","malware.exe","976","FileSystemControl","C:\Users","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0929648 AM","malware.exe","976","CloseFile","C:\Users","SUCCESS",""
"7:21:49.0930146 AM","malware.exe","976","CreateFile","C:\Users\Sysuser","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0930258 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0930321 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser","SUCCESS","IndexNumber: 0x3000000000206"
"7:21:49.0930386 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0930965 AM","malware.exe","976","CloseFile","C:\Users\Sysuser","SUCCESS",""
"7:21:49.0931402 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0931523 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\AppData","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0931589 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\AppData","SUCCESS","IndexNumber: 0x3000000000230"
"7:21:49.0931658 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\AppData","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0931723 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\AppData","SUCCESS",""
"7:21:49.0933633 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData\Local","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0936237 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\AppData\Local","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0936319 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\AppData\Local","SUCCESS","IndexNumber: 0x2000000000249"
"7:21:49.0936639 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\AppData\Local","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0936809 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\AppData\Local","SUCCESS",""
